Id,quality
1,5.21875
2,5.6875
3,5.96875
4,5.3125
5,6.0
6,6.0
7,5.0625
8,6.0625
9,5.15625
10,6.96875
11,6.0
12,5.34375
13,6.125
14,5.4375
15,5.21875
16,5.53125
17,6.15625
18,5.4375
19,6.09375
20,6.25
21,5.9375
22,5.5625
23,5.75
24,6.75
25,5.90625
26,6.90625
27,6.6875
28,5.875
29,5.46875
30,6.25
31,6.375
32,6.15625
33,5.84375
34,5.875
35,5.25
36,5.75
37,5.875
38,5.46875
39,5.5625
40,5.21875
41,5.875
42,6.28125
43,6.03125
44,5.90625
45,5.9375
46,5.65625
47,6.125
48,5.15625
49,6.40625
50,5.40625
51,6.75
52,5.46875
53,6.03125
54,5.625
55,5.875
56,6.03125
57,5.84375
58,5.09375
59,6.71875
60,6.0
61,6.1875
62,6.5
63,5.25
64,6.5
65,5.59375
66,5.375
67,5.9375
68,5.25
69,6.03125
70,5.875
71,5.90625
72,5.78125
73,6.25
74,5.96875
75,6.96875
76,5.59375
77,5.65625
78,5.65625
79,5.4375
80,5.90625
81,5.375
82,5.46875
83,5.75
84,6.09375
85,6.03125
86,5.8125
87,5.6875
88,6.0
89,5.96875
90,6.1875
91,5.125
92,5.4375
93,6.1875
94,6.65625
95,6.125
96,5.78125
97,5.78125
98,5.71875
99,6.3125
100,6.1875
101,6.8125
102,5.9375
103,5.59375
104,5.15625
105,6.90625
106,6.0
107,5.53125
108,5.25
109,6.21875
110,5.5625
111,5.78125
112,5.1875
113,6.0625
114,6.0
115,5.90625
116,6.53125
117,5.65625
118,6.0625
119,5.625
120,6.125
121,5.1875
122,5.59375
123,5.53125
124,5.96875
125,6.03125
126,6.125
127,5.90625
128,6.0
129,5.90625
130,5.75
131,6.84375
132,5.625
133,6.3125
134,6.0
135,6.03125
136,6.53125
137,6.6875
138,5.03125
139,6.34375
140,5.5625
141,5.84375
142,6.34375
143,5.9375
144,6.125
145,6.71875
146,5.34375
147,5.9375
148,6.1875
149,5.96875
150,5.21875
151,5.0
152,6.21875
153,5.90625
154,5.8125
155,5.75
156,6.0
157,6.25
158,5.46875
159,6.40625
160,5.40625
161,6.34375
162,5.4375
163,5.78125
164,6.84375
165,6.0
166,6.59375
167,6.625
168,5.59375
169,6.1875
170,5.59375
171,6.28125
172,6.0
173,5.34375
174,6.0
175,5.75
176,6.28125
177,5.4375
178,5.59375
179,5.90625
180,5.90625
181,6.375
182,5.59375
183,6.46875
184,5.375
185,5.6875
186,5.03125
187,6.09375
188,5.9375
189,5.71875
190,5.21875
191,5.53125
192,6.34375
193,6.09375
194,5.9375
195,5.40625
196,6.28125
197,6.0
198,5.25
199,5.96875
200,6.09375
201,6.71875
202,5.03125
203,6.09375
204,5.59375
205,5.375
206,6.0
207,6.0
208,5.96875
209,5.8125
210,6.25
211,5.6875
212,5.53125
213,6.0
214,6.375
215,5.375
216,5.25
217,6.28125
218,5.125
219,6.59375
220,5.8125
221,6.0625
222,5.3125
223,5.9375
224,5.34375
225,5.15625
226,5.5625
227,5.40625
228,5.0625
229,5.71875
230,6.0
231,6.09375
232,5.9375
233,5.78125
234,6.28125
235,5.25
236,5.25
237,6.0
238,6.125
239,6.0
240,6.65625
241,5.9375
242,6.0
243,5.65625
244,5.0
245,5.71875
246,6.0
247,5.21875
248,5.78125
249,6.46875
250,6.0
251,5.3125
252,6.03125
253,5.625
254,6.9375
255,5.65625
256,7.0
257,5.03125
258,5.6875
259,5.15625
260,5.125
261,5.5
262,5.3125
263,6.40625
264,5.8125
265,6.25
266,5.40625
267,5.96875
268,6.21875
269,6.8125
270,6.25
271,5.875
272,6.0
273,6.3125
274,6.0625
275,6.21875
276,6.3125
277,5.34375
278,6.34375
279,5.59375
280,6.0
281,6.59375
282,6.15625
283,5.15625
284,6.8125
285,6.0625
286,6.03125
287,6.5625
288,6.375
289,5.78125
290,6.03125
291,6.8125
292,5.84375
293,5.5
294,5.96875
295,5.34375
296,5.5625
297,6.03125
298,5.9375
299,5.65625
300,5.09375
301,6.125
302,6.28125
303,5.4375
304,5.78125
305,6.625
306,5.875
307,5.90625
308,5.5
309,6.3125
310,5.15625
311,5.53125
312,5.46875
313,6.09375
314,5.71875
315,6.5
316,6.0
317,6.40625
318,6.75
319,6.40625
320,5.75
321,5.53125
322,6.0
323,6.0625
324,5.5
325,6.03125
326,6.21875
327,5.75
328,6.40625
329,6.03125
330,6.125
331,5.4375
332,5.84375
333,5.0625
334,6.03125
335,5.0625
